kind,game,sims_per_move,algorithm,n,num_matches,mean_exploitability,median_exploitability,std_exploitability,p10_exploitability,p90_exploitability,mean_diff,median_diff,std_diff,p10_diff,p90_diff,mean_ci95_low,mean_ci95_high,mean_coverage,mean_coverage_frac,mean_elapsed_s,lotr_better_count,oos_better_count,tie_count,max_E_dR2,max_prefix_D,mean_E_W2,mean_E_dR2,mean_abs_regret,mean_chance_diverged_frac,mean_ess_per_sim,mean_log_l,mean_log_l_p5,mean_on_path_frac,mean_on_path_given_chance,mean_prefix_D,mean_prefix_survival,mean_targeted_frac,mean_visit_count_median,mean_visit_count_min,min_ess_per_sim,p95_E_W2,p95_E_dR2,tracking_iters_total,tracking_steps
algorithm,liars_dice,20000,lotr_step_r05,3,50,0.5017818028501244,0.5027234422842395,0.007943463459364045,0.4952722802350955,0.5079146696915073,,,,,,0.49340948972280946,0.5092124765433244,9433.666666666666,0.38385687934027785,85.57833333333333,,,,1226345871.4430988,5.666666666666667,1388787533403755.0,13169.397007138403,59.37490518368177,0.5000514988525532,0.0010611659571628479,-6.345273714119464,-11.09391625341165,0.49990934567498235,0.9999216802733081,2.3265030565612204,0.49990934567498235,,2.4726706497583106,1.0,6.567675858383739e-05,414023438497867.5,18051.354404218437,1693333.3333333333,84.66666666666667
algorithm,liars_dice,20000,oos_d05,3,50,0.5000549492303777,0.5041757355530834,0.010185795679880462,0.4915986588980565,0.5068629250336167,,,,,,0.4884543897342997,0.5075347224037501,9270.0,0.377197265625,69.61233333333332,,,,180678043.2538793,,154146255795554.66,12033.695968680984,59.26762865151081,,0.0010905639789503356,-6.287434573935976,-11.061062016148716,,,,0.526636746031746,0.500159352307973,2.4835249042145593,1.0,6.57890969853258e-05,425272764303273.94,17957.24046440701,1740000.0,87.0
algorithm,liars_dice,50000,lotr_step_r05,3,50,0.4034090619791595,0.40169614608034476,0.014297850865949539,0.3923750944344858,0.4151281958833591,,,,,,0.390044831523021,0.4184862083341126,12197.0,0.4962972005208333,200.992,,,,2776494850.701744,5.666666666666667,1769240862266921.0,20782.783080911184,66.08600272966304,0.5000623117654656,0.00054862104326406,-6.1239168350301085,-10.781588016463516,0.4999228057149894,0.9999702425458997,2.3662728125528734,0.4999228057149894,,2.637303310717257,1.0,2.456040092502677e-05,2249400377526882.8,22595.92552776622,4366666.666666667,87.33333333333333
algorithm,liars_dice,50000,oos_d05,3,50,0.3924881119275723,0.39379771162757254,0.013909402674817807,0.38113572201045637,0.4033166619646883,,,,,,0.3779702246061773,0.40569639954896725,12258.333333333334,0.4987928602430556,163.82399999999998,,,,2696260681.6256814,,2.180257061111264e+16,21078.93392214618,65.96378347014738,,0.0005222539631340775,-6.108215310599541,-10.773950614819144,,,,0.5259778792443511,0.499971754159918,2.6533767180165064,1.0,2.3072654456933486e-05,2021956494286281.2,22472.737796979152,4416666.666666667,88.33333333333333
paired_diff,goofspiel,5000,lotr_step_r05_minus_oos_d05,3,,,,,,,-0.00017714014904910794,0.0009469787755941664,0.002023243975127618,-0.001820872509543496,0.0010169446415879703,-0.0025128353308279117,0.0010344361080864214,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,
paired_diff,goofspiel,10000,lotr_step_r05_minus_oos_d05,3,,,,,,,-0.00026384121984435296,-0.0003111451463583756,0.00027804396005857095,-0.0004743879945968435,-3.4372874486253405e-05,-0.0005151987066564605,3.482019348177712e-05,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
paired_diff,goofspiel,20000,lotr_step_r05_minus_oos_d05,3,,,,,,,0.0004649580116555506,0.0005799038014524215,0.0017575320745203957,-0.0009617996952089932,0.0018457374026013462,-0.0013472255693743468,0.0021621958028885772,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,
paired_diff,goofspiel,50000,lotr_step_r05_minus_oos_d05,3,,,,,,,0.00016907837535284215,0.0001903473741698726,0.0001430753422420942,5.1316793795423e-05,0.0002783323573834491,1.6559148701810605e-05,0.00030032860318684323,,,,0,3,0,,,,,,,,,,,,,,,,,,,,,
paired_diff,leduc_poker,5000,lotr_step_r05_minus_oos_d05,3,,,,,,,-0.016723766801473028,-0.0065888302432939305,0.038944960115571796,-0.04910516428757665,0.01160365606135896,-0.05973424779864733,0.01615177763752218,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
paired_diff,leduc_poker,10000,lotr_step_r05_minus_oos_d05,3,,,,,,,-0.008066101417973667,-0.012461108309814062,0.009166617013019233,-0.01385834236007959,-0.0005158577191315844,-0.014207650872645972,0.0024704549285390343,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
paired_diff,leduc_poker,20000,lotr_step_r05_minus_oos_d05,3,,,,,,,0.002837881228604955,0.0025486485052743646,0.006928986128414288,-0.0026438379622904405,0.008435293508832587,-0.003941959579181642,0.009906954759722142,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,
paired_diff,leduc_poker,50000,lotr_step_r05_minus_oos_d05,3,,,,,,,0.0002545462160690552,-0.004128288601012886,0.021943561700089154,-0.016159123960547084,0.01842135031951797,-0.019166832800430633,0.024058760049650685,,,,2,1,0,,,,,,,,,,,,,,,,,,,,,
paired_diff,liars_dice,5000,lotr_step_r05_minus_oos_d05,3,,,,,,,0.0073657683132326195,0.008942195369120776,0.0067849656180033755,0.0017335263746819374,0.01236743942942804,-6.864087392777218e-05,0.013223750444504856,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,
paired_diff,liars_dice,10000,lotr_step_r05_minus_oos_d05,3,,,,,,,0.002892789641719499,0.008967926388481207,0.013311894690657402,-0.008104706120421488,0.011460230705155805,-0.012372864247647164,0.012083306784324455,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,
paired_diff,liars_dice,20000,lotr_step_r05_minus_oos_d05,3,,,,,,,0.0017268536197467081,0.004955099988509737,0.005662337053514384,-0.00285800409790653,0.005020412789894735,-0.004811280119510597,0.005036740990240984,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,
paired_diff,liars_dice,50000,lotr_step_r05_minus_oos_d05,3,,,,,,,0.010920950051587127,0.012074606916843755,0.014379126878057938,-0.0007852813915292353,0.02216571874860084,-0.004000253468622483,0.02468849670654011,,,,1,2,0,,,,,,,,,,,,,,,,,,,,,
